Analyzing battle_manager.dart...                                

warning - The value of the field '_isProcessingHits' isn't used - lib\game\battle_manager.dart:169:8 - unused_field
warning - The value of the local variable 'triggered' isn't used - lib\game\battle_manager.dart:414:12 - unused_local_variable
   info - Statements in an if should be enclosed in a block - lib\game\battle_manager.dart:452:13 - curly_braces_in_flow_control_structures
   info - Statements in an if should be enclosed in a block - lib\game\battle_manager.dart:463:15 - curly_braces_in_flow_control_structures
   info - Statements in an if should be enclosed in a block - lib\game\battle_manager.dart:474:15 - curly_braces_in_flow_control_structures
   info - Statements in an if should be enclosed in a block - lib\game\battle_manager.dart:516:17 - curly_braces_in_flow_control_structures
   info - Statements in an if should be enclosed in a block - lib\game\battle_manager.dart:815:11 - curly_braces_in_flow_control_structures
   info - Statements in an if should be enclosed in a block - lib\game\battle_manager.dart:901:13 - curly_braces_in_flow_control_structures
   info - Statements in an if should be enclosed in a block - lib\game\battle_manager.dart:1055:11 - curly_braces_in_flow_control_structures
   info - Statements in an if should be enclosed in a block - lib\game\battle_manager.dart:1097:11 - curly_braces_in_flow_control_structures
   info - Statements in an if should be enclosed in a block - lib\game\battle_manager.dart:1108:11 - curly_braces_in_flow_control_structures
   info - Statements in an if should be enclosed in a block - lib\game\battle_manager.dart:1122:9 - curly_braces_in_flow_control_structures
   info - Statements in an if should be enclosed in a block - lib\game\battle_manager.dart:1124:9 - curly_braces_in_flow_control_structures
   info - Statements in an if should be enclosed in a block - lib\game\battle_manager.dart:1126:9 - curly_braces_in_flow_control_structures
   info - Statements in an if should be enclosed in a block - lib\game\battle_manager.dart:1128:9 - curly_braces_in_flow_control_structures
warning - The value of the local variable 'totalDamageDealt' isn't used - lib\game\battle_manager.dart:1148:9 - unused_local_variable
   info - Statements in an if should be enclosed in a block - lib\game\battle_manager.dart:1165:11 - curly_braces_in_flow_control_structures
   info - Statements in an if should be enclosed in a block - lib\game\battle_manager.dart:1401:13 - curly_braces_in_flow_control_structures
   info - Statements in an if should be enclosed in a block - lib\game\battle_manager.dart:1804:19 - curly_braces_in_flow_control_structures
   info - Statements in an if should be enclosed in a block - lib\game\battle_manager.dart:1858:11 - curly_braces_in_flow_control_structures
   info - Statements in an if should be enclosed in a block - lib\game\battle_manager.dart:1922:11 - curly_braces_in_flow_control_structures
   info - Statements in an if should be enclosed in a block - lib\game\battle_manager.dart:1977:11 - curly_braces_in_flow_control_structures
   info - Statements in an if should be enclosed in a block - lib\game\battle_manager.dart:1988:11 - curly_braces_in_flow_control_structures
   info - Statements in an if should be enclosed in a block - lib\game\battle_manager.dart:2003:11 - curly_braces_in_flow_control_structures
   info - Statements in an if should be enclosed in a block - lib\game\battle_manager.dart:2046:13 - curly_braces_in_flow_control_structures
   info - Statements in an if should be enclosed in a block - lib\game\battle_manager.dart:2204:13 - curly_braces_in_flow_control_structures
