name,class,family,filepath
Sidewinder,Reptile,Viperidae,assets/sprites/Sidewinder.png
Arapaima,Fish,Arapaimidae,assets/sprites/Arapaima.png
Cottonmouth,Reptile,Viperidae,assets/sprites/Cottonmouth.png
Orca,Mammal,Delphinidae,assets/sprites/Orca.png
Meerkat,Mammal,Herpestidae,assets/sprites/Meerkat.png
Termite,Insect,Termitidae,assets/sprites/Termite.png
Cougar,Mammal,Felidae,assets/sprites/Cougar.png
Coyote,Mammal,Canidae,assets/sprites/Coyote.png
Payara,Fish,Cynodontidae,assets/sprites/Payara.png
Bonefish,Fish,Albulidae,assets/sprites/Bonefish.png
Roosterfish,Fish,Nematistiidae,assets/sprites/Roosterfish.png
Gyrfalcon,Bird,Falconidae,assets/sprites/Gyrfalcon.png
Merlin,Bird,Falconidae,assets/sprites/Merlin.png
Anhinga,Bird,Anhingidae,assets/sprites/Anhinga.png
Narwhal,Mammal,Monodontidae,assets/sprites/Narwhal.png
Swordfish,Fish,Xiphiidae,assets/sprites/Swordfish.png
Opah,Fish,Lampridae,assets/sprites/Opah.png
Wahoo,Fish,Scombridae,assets/sprites/Wahoo.png
Escolar,Fish,Gempylidae,assets/sprites/Escolar.png
Lancetfish,Fish,Alepisauridae,assets/sprites/Lancetfish.png
Needlefish,Fish,Belonidae,assets/sprites/Needlefish.png
Oilfish,Fish,Gempylidae,assets/sprites/Oilfish.png
Springbok,Mammal,Bovidae,assets/sprites/Springbok.png
Walrus,Mammal,Odobenidae,assets/sprites/Walrus.png
Catla,Fish,Cyprinidae,assets/sprites/Catla.png
Rohu,Fish,Cyprinidae,assets/sprites/Rohu.png
Walleye,Fish,Percidae,assets/sprites/Walleye.png
Sterlet,Fish,Acipenseridae,assets/sprites/Sterlet.png
Bluegill,Fish,Centrarchidae,assets/sprites/Bluegill.png
Bowfin,Fish,Amiidae,assets/sprites/Bowfin.png
Piraiba,Fish,Pimelodidae,assets/sprites/Piraiba.png
Aardwolf,Mammal,Hyaenidae,assets/sprites/Aardwolf.png
Whalesucker,Fish,Echeneidae,assets/sprites/Whalesucker.png
Dingo,Mammal,Canidae,assets/sprites/Dingo.png
Cabezon,Fish,Cottidae,assets/sprites/Cabezon.png
Lingcod,Fish,Hexagrammidae,assets/sprites/Lingcod.png
Tubesnout,Fish,Aulorhynchidae,assets/sprites/Tubesnout.png
Mummichog,Fish,Fundulidae,assets/sprites/Mummichog.png
Pearlside,Fish,Sternoptychidae,assets/sprites/Pearlside.png
Ridgehead,Fish,Trachichthyidae,assets/sprites/Ridgehead.png
Cobia,Fish,Rachycentridae,assets/sprites/Cobia.png
Kawakawa,Fish,Scombridae,assets/sprites/Kawakawa.png
Silverside,Fish,Atherinidae,assets/sprites/Silverside.png
Cornetfish,Fish,Fistulariidae,assets/sprites/Cornetfish.png
Trumpetfish,Fish,Aulostomidae,assets/sprites/Trumpetfish.png
Harvestfish,Fish,Stromateidae,assets/sprites/Harvestfish.png
Prowfish,Fish,Notograptidae,assets/sprites/Prowfish.png
Ragfish,Fish,Icosteidae,assets/sprites/Ragfish.png
Permit,Fish,Carangidae,assets/sprites/Permit.png
Warmouth,Fish,Centrarchidae,assets/sprites/Warmouth.png
Barramundi,Fish,Latidae,assets/sprites/Barramundi.png
Capybara,Mammal,Caviidae,assets/sprites/Capybara.png
Jaguar,Mammal,Felidae,assets/sprites/Jaguar.png
Leopard,Mammal,Felidae,assets/sprites/Leopard.png
Hippopotamus,Mammal,Hippopotamidae,assets/sprites/Hippopotamus.png
Impala,Mammal,Bovidae,assets/sprites/Impala.png
Boomslang,Reptile,Colubridae,assets/sprites/Boomslang.png
Bobcat,Mammal,Felidae,assets/sprites/Bobcat.png
Chimpanzee,Mammal,Hominidae,assets/sprites/Chimpanzee.png
Dachshund,Mammal,Canidae,assets/sprites/Dachshund.png
Okapi,Mammal,Giraffidae,assets/sprites/Okapi.png
Ocelot,Mammal,Felidae,assets/sprites/Ocelot.png
Vaquita,Mammal,Phocoenidae,assets/sprites/Vaquita.png
Axolotl,Amphibian,Ambystomatidae,assets/sprites/Axolotl.png
Kiwi,Bird,Apterygidae,assets/sprites/Kiwi.png
Koala,Mammal,Phascolarctidae,assets/sprites/Koala.png
Platypus,Mammal,Ornithorhynchidae,assets/sprites/Platypus.png
Wombat,Mammal,Vombatidae,assets/sprites/Wombat.png
Gharial,Reptile,Gavialidae,assets/sprites/Gharial.png
Emu,Bird,Dromaiidae,assets/sprites/Emu.png
Quokka,Mammal,Macropodidae,assets/sprites/Quokka.png
Numbat,Mammal,Myrmecobiidae,assets/sprites/Numbat.png
Perentie,Reptile,Varanidae,assets/sprites/Perentie.png
Oilbird,Bird,Steatornithidae,assets/sprites/Oilbird.png
Nilgai,Mammal,Bovidae,assets/sprites/Nilgai.png
Ferret,Mammal,Mustelidae,assets/sprites/Ferret.png
Gaur,Mammal,Bovidae,assets/sprites/Gaur.png
Kouprey,Mammal,Bovidae,assets/sprites/Kouprey.png
Yak,Mammal,Bovidae,assets/sprites/Yak.png
Elk,Mammal,Cervidae,assets/sprites/Elk.png
Reindeer,Mammal,Cervidae,assets/sprites/Reindeer.png
Dugong,Mammal,Dugongidae,assets/sprites/Dugong.png
Nutria,Mammal,Myocastoridae,assets/sprites/Nutria.png
Wolverine,Mammal,Mustelidae,assets/sprites/Wolverine.png
Hamster,Mammal,Cricetidae,assets/sprites/Hamster.png
Markhor,Mammal,Bovidae,assets/sprites/Markhor.png
